A,C
@ceedee75 Absolutely!!!!  I would have been sad if I didn't go. I'll post some pics soon. ,0
@THE_WOCKEEZ GOOD LUCK! GOOD LUCK! You'll be awesome!! So excited to see you next weekend ,0
The rain has gone away outside...but now there's rain inside   OMG today is already crazy!,0
"<p>Hint: $$1/(1 + x +(9/4) x^2) = 1 -(x + (9/4) x^2) + (x + (9/4) x^2)^2 + 
\ldots $$</p>
",0
You can try the one from Startssl: https://www.startssl.com/certs/sub.class1.client.ca.pem,0
I've spent an hour an ten minutes just staring at the screen.. ahh. this farm town sucks. ,0
Omg my ipod froze on the bus. Now I'm bored and I brought it to the club w me for nothing ,0
"Was supposed to hookup with someone, but his plane was late coming because of bad weather ",0
"@masao94 Bet on the Final, Get ï¿½25 cashback if your bet loses  http://tinyurl.com/qhoq8j",0
Hmm Which twitter application is faster? Tweetdeck or Twhirl? Just want to try new things ,0
The number of people who have taken PhDs both in the US and in the UK might be very small.,0
"@Trilarion Yes, but OP's supervisor has **told him** to publish their own research, so ...",0
@michalabanas hey michala!!.was watching McLeods Daughters yday..i missed Kate Manfredi.. ,0
@PettyshkaDM nooo  you're so lucky that you have Twitter in the phone. I'm jealous of you ,0
Great day in Telford Park (recommended for families with kids). I now have a t-shirt tan! ,0
@beeshyams DriveDroid uses your phone as a USB booting device. ZaapTV can't boot from USB.,0
@katie_love hope you feel better girl! Cant wait to hear about your trip!  Love and peace.,0
I'm in Boca. annnnddd I'll figure out twitter latteerr. I'm about to go shopping  yayyyyy.,0
@reginacassandra Awww Regina. (: thanks for caring. But it's nothing really. Don't worry. ,0
Can sum1 explain the difference between front end and back end coding? I don't understand ,0
@chrismillet @aprilsheninger Congrats! That's great news. I'm so happy for the two of you ,0
"I don't know if it really happens in real life or not, but I use to read that in... manga.",0
"@ddlovato holy crap im watching this too! dude , its so sad how people kill them  soo sad.",0
Thank you for point this application. I will try a solution in the android market website.,0
"@eykanal Since there seems to be no consensus on meta, can you please reopen the question?",0
Thank - I'm leaning particularly towards no-app solutions and Socrative looks good indeed.,0
@Alyssa_Milano Awesome. Sounds like a winner. Tweet from the set?? Cool idea! Can't wait. ,0
