A,C
Got an email from my parents. Just reminds me how homesick I really am.  I want my mommy. ,0
Great day in Telford Park (recommended for families with kids). I now have a t-shirt tan! ,0
@PettyshkaDM nooo  you're so lucky that you have Twitter in the phone. I'm jealous of you ,0
thinks that this may be an outlet for a lot of freaky people... not the good one's either ,0
@zeddessarts Yup... finished and got a new deadline in return   Circle of life probably?  ,0
assistance league fashion show today! mmm so exited! its gonna be fun and super dresssssy ,0
I feel like actually doing something in gym today but I forgot a shirt   mei life sucks :/,0
"@Geraldy Those emoticons are the cutest, especially the kitty :] I never use Ameba though ",0
Jeesh I wish I wasn't such a fraidy cat!  Nighty night. PS: Year One was just plain silly.,0
"@MandyyJirouxx hey, when are u and miley doing another miley&amp;mandy show?  please reply",0
"having a beautiful day, great weather and i am going to see the first lambs of the spring ",0
"@mamarissa It's full of scams now, every other listing is a stupid scammer. It annoys me. ",0
@melindameisner to the phillipines or to the new zealand ember days show? how about both? ,0
"english final, job interview/training thing, and then .. i guess go home and study  boooo.",0
"sorry i didnt tweet i have sore eyes so i need to rest, but i have 1 hour to use the comp ",0
@WGyenny  looking great!! i can't wait for 19th may to arrive  i hope i win the contest..!,0
I missed jonas and demi tonight. It was a once in a lifetime opportunity and i missed it. ,0
I miss my LA bitches &amp; wanna think up a scheme 2 get them 2 move to NY...no ideas yet ,0
@rach210 haha awesome everyone needs to hear mcfly anyway cuz they are so totally awesome ,0
MY CONTACT could not be more annoying right now.... work til 9 then annapolis for the day ,0
"@frombottle2box Well, it's the thought that counts. for something. but I'm still thirsty. ",0
jessie is watching tele ironing and thinkin about him and y he did what he did i love him ,0
@SarcastiCyclist  Thanks for the follow!   i think?      Isnt florida flatter than kansas?,0
I have no time for bath with yoghurt bubbles  GoodNight my fav TwitterTown. Sweet dreamss.,0
"@arabyrd OMG! Can't get in touch with my friend,he just sms'd me from Tehran few days ago ",0
Off to work and it's doin good weather outside.............. oh what joy. catch ya laters ,0
&quot;Hugo @Douster like your link&quot; (about my minimix)... yappppp! great great great ,0
@yenra thanks for the #followfriday- that's lovely!  hope you're having a good weekend... ,0
"OK ...score 2 wins , 1 loss in tourneys played. yeah! Stop while I'm ahead! So Here I am. ",0
learned choreography to disturbia =D what a great way to get tired when deprived of sleep ,0
Sagar fucker.. have you changed ur tendencies ... why the hell are you after Hugh Jackman ,0
@StacyOnBob @PhilOnBob  Your online stream is not working.  KYIS is working but not BOB.  ,0
&lt;3 Elbow. To bad pinkpop and lowlands are solded out  I really wanted to go this year..,0
"@the_apostate not so bad now, although i've injured a wing and keep hitting it off things ",0
@AllEyesOnB Well thats good!  Im dying over here. So bored :/ Just sittin n the break room,0
@pschiendelman haha my google satellite view is just a big clump of green oak tree tops.  ,0
@lisaajonas - I'll do hope your day is gonna be as great as mine. But it's raining though ,0
"Was supposed to hookup with someone, but his plane was late coming because of bad weather ",0
